Date,Open,High,Low,Close,Adj Close,Volume
8/11/2019,36.060001,36.58,36,36.290001,36.290001,39353900
11/11/2019,35.959999,36.66,35.58,36.310001,36.310001,43511100
12/11/2019,36.43,37.13,36.4,36.709999,36.709999,58664500
13/11/19,36.650002,37.96,36.58,37.52,37.52,67648300
14/11/19,37.509998,38.5,37.36,38.349998,38.349998,65829500
15/11/19,38.939999,39.37,38.34,38.560001,38.560001,62958500
18/11/19,38.650002,39.99,38.6,39.880001,39.880001,66102800
19/11/19,40.139999,41.79,39.69,41.290001,41.290001,94373000
20/11/19,40.959999,41.75,40.07,40.98,40.98,79767900
21/11/19,40.419998,40.71,38.64,39.52,39.52,88069400
22/11/19,39.360001,39.89,38.19,39.150002,39.150002,56931900
25/11/19,39.5,40.17,39.49,39.790001,39.790001,45769500
26/11/19,39.299999,39.48,38.81,38.990002,38.990002,43603300
27/11/19,39.459999,39.76,39.07,39.41,39.41,33630100
29/11/19,39.099998,39.52,39.02,39.150002,39.150002,17609900
2/12/2019,39.32,39.41,38.44,38.73,38.73,35710200
3/12/2019,37.34,38.93,37.15,38.900002,38.900002,51556400
4/12/2019,39.380001,39.82,39.13,39.689999,39.689999,44299400
5/12/2019,39.950001,40.22,39.55,39.619999,39.619999,35574000
6/12/2019,40.099998,40.19,39.56,39.630001,39.630001,31101400
9/12/2019,39.459999,39.84,38.91,38.93,38.93,27928100
10/12/2019,39.200001,39.73,38.82,39.439999,39.439999,33733600
11/12/2019,39.439999,39.61,39.04,39.470001,39.470001,31698300
12/12/2019,39.400002,42.62,39.25,42.59,42.59,86878000
13/12/19,42.349998,42.95,41.06,41.150002,41.150002,79927800
16/12/19,41.73,42.98,41.73,42.349998,42.349998,58824900
17/12/19,42.509998,43.11,42.15,42.77,42.77,44852000
18/12/19,42.790001,43.06,42.24,42.299999,42.299999,39083300
19/12/19,42.630001,43.34,42.6,42.830002,42.830002,45883000
20/12/19,43.439999,44.26,43.26,44.150002,44.150002,68104700
23/12/19,44.580002,45.63,44.39,45.459999,45.459999,55886500
